source,location,lat,lon,event_date,event_hour,is_weekend,metric,hits,sev_rank
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-01,8,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-02,17,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-03,6,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-03,9,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-06,8,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-06,14,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-06,23,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-09,23,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-12,19,true,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-12,22,true,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-14,6,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-14,8,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-15,15,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,8,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-17,23,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-18,8,true,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,16,true,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-19,20,true,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,14,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,16,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,17,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-20,23,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-21,17,false,total movements / hr,1,3
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-23,23,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-24,15,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-25,23,true,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,6,false,total movements / hr,1,2
flights,Wellington Airport (WLG),-41.3272,174.8052,2026-04-27,8,false,total movements / hr,1,2
metlink,Houghton Bay - Houghton Bay Road,-41.34126599999999,174.785344,2026-04-01,0,false,delay_outlier,1,2
metlink,View Road at Hungerford Road (near 97),-41.33849462,174.7900945,2026-04-01,0,false,delay_outlier,1,2
metlink,View Road opposite Twomey Grove,-41.33669768,174.7898063,2026-04-01,0,false,delay_outlier,1,2
metlink,Marine Drive near Sunshine Bay,-41.27567886,174.9045477,2026-04-01,5,false,delay_outlier,1,2
metlink,Thomas Street at Wagon Road (near 47),-41.161501,174.983607,2026-04-01,5,false,delay_outlier,1,3
metlink,Muritai Road at Eastbourne Village,-41.29073792,174.8980593,2026-04-01,5,false,delay_outlier,1,2
metlink,Lord Street (near 72),-41.15935143,174.9871054,2026-04-01,5,false,delay_outlier,1,2
metlink,Thomas Street at John Street,-41.16325336,174.9854355,2026-04-01,5,false,delay_outlier,1,2
metlink,Days Bay at Ferry Road,-41.27782769,174.9053266,2026-04-01,5,false,delay_outlier,1,2
metlink,Raroa Road at Fairview Crescent,-41.28918797,174.7574577,2026-04-01,6,false,delay_outlier,1,2
metlink,Mysore Street (near 14),-41.25042003,174.7832716,2026-04-01,6,false,delay_outlier,1,2
metlink,Onepu Road at Cruickshank Street,-41.32075882,174.7953439,2026-04-01,6,false,delay_outlier,1,2
metlink,Newlands Road (near 44),-41.23150288,174.812228,2026-04-01,6,false,delay_outlier,1,2
metlink,Queens Drive at Rua Street,-41.33027373,174.7916618,2026-04-01,6,false,delay_outlier,1,2
metlink,Lyall Bay - Hungerford Road (near 2),-41.33774274999999,174.7921056,2026-04-01,6,false,delay_outlier,1,2
metlink,Miramar Shops - Stop A,-41.315824,174.814952,2026-04-01,6,false,delay_outlier,1,2
metlink,Lambton Central - Stop B,-41.28296301740423,174.77570891360472,2026-04-01,6,false,delay_outlier,2,3
metlink,Centennial Highway at Glover Street,-41.24256196999999,174.8134883,2026-04-01,6,false,delay_outlier,1,2
metlink,Courtenay Place at Courtenay Central,-41.29289647,174.77989,2026-04-01,6,false,delay_outlier,1,2
metlink,Martinborough – Town Hall,-41.21875524613425,175.46114027089004,2026-04-01,6,false,delay_outlier,1,3
metlink,Lennel Road at Sefton Street,-41.26409097,174.7787493,2026-04-01,6,false,delay_outlier,1,2
metlink,Ngauranga - Hutt Road (next to motorway),-41.24820366,174.81238285,2026-04-01,6,false,delay_outlier,1,2
metlink,Murphy Street - Wellington Girls' College,-41.27533423,174.7797709,2026-04-01,6,false,delay_outlier,1,2
metlink,Wellington Station - Stop A,-41.27875367419755,174.7786859899634,2026-04-01,6,false,delay_outlier,2,2
metlink,Wilton Road at Blackbridge Road,-41.2616407,174.76699969,2026-04-01,6,false,delay_outlier,1,2
metlink,Moana Road (near 18),-41.288094,174.754708,2026-04-01,6,false,delay_outlier,1,2
metlink,Moana Road at Highbury Road,-41.29162075,174.7574036,2026-04-01,6,false,delay_outlier,1,2
metlink,Queens Drive at Sutherland Road,-41.3326276,174.7908898,2026-04-01,6,false,delay_outlier,1,2
metlink,Clutha Avenue at Nicholson Road (near 3),-41.24807289,174.7894137,2026-04-01,6,false,delay_outlier,1,2
metlink,Grant Road (opposite 24),-41.2685269054114,174.77901212865922,2026-04-01,6,false,delay_outlier,1,2
metlink,Karepa Street (opposite 171),-41.30603004,174.7575516,2026-04-01,6,false,delay_outlier,1,2
metlink,Lambton Quay North - Stop D,-41.27988882087825,174.7764998049664,2026-04-01,6,false,delay_outlier,2,2
metlink,Hobart Street at Wexford Road,-41.3195,174.81423,2026-04-01,6,false,delay_outlier,1,2
metlink,Bombay Street (near 7),-41.24935253999999,174.7824071,2026-04-01,6,false,delay_outlier,1,2
metlink,Wadestown Shops (near 98),-41.26181268,174.7746288,2026-04-01,6,false,delay_outlier,1,2
metlink,Lambton Quay at Hunter Street,-41.2850002794407,174.77560946220586,2026-04-01,6,false,delay_outlier,2,2
metlink,Wadestown Road opposite Lytton Street,-41.26152969999999,174.7696077,2026-04-01,6,false,delay_outlier,1,2
metlink,Courtenay Place - Stop C,-41.29375246,174.7827796,2026-04-01,6,false,delay_outlier,2,2
metlink,Bombay Street opposite Tarikaka Street,-41.24955108,174.7812191,2026-04-01,6,false,delay_outlier,1,2
metlink,Stokes Valley Road at Chittick Street (near 300),-41.17943158,174.9822284,2026-04-01,6,false,delay_outlier,1,2
metlink,Cockayne Road at Lucknow Terrace,-41.249711,174.786858,2026-04-01,6,false,delay_outlier,1,2
metlink,Wadestown Road opposite Pitt Street,-41.2617906,174.7760607,2026-04-01,6,false,delay_outlier,1,2
metlink,Izard Park - Wilton Road,-41.264384,174.76415,2026-04-01,6,false,delay_outlier,1,2
metlink,Kāpiti Road at Golf Road (near 391),-40.8915554,174.9821547,2026-04-01,6,false,delay_outlier,1,2
metlink,Hobart Street at Kedah Street,-41.32355219,174.8125065,2026-04-01,6,false,delay_outlier,1,2
metlink,Barnard Street at Lennel Road,-41.26513078,174.7814038,2026-04-01,6,false,delay_outlier,1,2
metlink,Karepa Street at Ashton Fitchett Drive,-41.30421839,174.7582196,2026-04-01,6,false,delay_outlier,1,2
metlink,Hutt Road opposite Rangiora Avenue,-41.25589183999999,174.7963112,2026-04-01,6,false,delay_outlier,1,2
metlink,Porirua Station - Stop C,-41.1379647,174.8432489,2026-04-01,6,false,dwell_outlier,2,3
metlink,Hutt Valley High School - Woburn Road,-41.21572959,174.9022107,2026-04-01,6,false,dwell_outlier,1,2
metlink,Lennel Road at Moorhouse Street,-41.26258433999999,174.7771565,2026-04-01,6,false,delay_outlier,1,2
metlink,Te Herenga Waka – Victoria University of Wellington Kelburn - Stop A,-41.28818818,174.76808961,2026-04-01,6,false,delay_outlier,1,2
metlink,Grosvenor Terrace opposite Orchard Street,-41.26722742,174.7797894,2026-04-01,6,false,delay_outlier,1,2
metlink,Lambton Quay North - Stop B,-41.27987181161021,174.7762726064689,2026-04-01,6,false,delay_outlier,1,2
metlink,Karepa Street (near 80),-41.30244364,174.75860037,2026-04-01,6,false,delay_outlier,1,2
metlink,Newlands Road (near 76),-41.23051,174.81548,2026-04-01,6,false,delay_outlier,1,2
metlink,Queens Drive (near 304),-41.33541677,174.7910858,2026-04-01,6,false,delay_outlier,1,3
metlink,Onepu Road at Lyall Parade (near 222),-41.328676,174.795263,2026-04-01,6,false,delay_outlier,1,2
metlink,Onepu Road at Lyall Bay Shops,-41.3254424,174.795353,2026-04-01,6,false,delay_outlier,1,2
metlink,Lambton Central - Stop A,-41.2826661966511,174.7756664663638,2026-04-01,6,false,delay_outlier,1,2
metlink,Khandallah Village - Stop A,-41.24732663999999,174.7910641,2026-04-01,6,false,delay_outlier,1,2
metlink,Hutt Park - Seaview Road,-41.23442802999999,174.9044233,2026-04-01,6,false,delay_outlier,1,2
metlink,Willis Street at Willbank Court,-41.28801096,174.7754582,2026-04-01,6,false,delay_outlier,2,2
metlink,Manners Street at Cuba Street - Stop B,-41.29096552,174.7766131,2026-04-01,6,false,delay_outlier,2,2
metlink,Mysore Street (opposite 138),-41.25165277,174.7850954,2026-04-01,6,false,delay_outlier,1,2
metlink,High Street at Ropata Crescent (near 550),-41.20396663999999,174.9163008,2026-04-01,6,false,delay_outlier,1,2
metlink,Grosvenor Terrace (near 22),-41.26596307,174.77994415,2026-04-01,6,false,delay_outlier,1,2
metlink,Raroa Road (near 1),-41.28767924,174.7559842,2026-04-01,6,false,delay_outlier,1,2
metlink,Wilton Road opposite Purakau Avenue,-41.26213039,174.7656847,2026-04-01,6,false,delay_outlier,1,2
metlink,Waiwhetu Road at Guthrie Street,-41.22069805,174.9176244,2026-04-01,7,false,bunching,2,2
metlink,Akaroa Drive opposite Countess Close,-41.30117665,174.8206059,2026-04-01,7,false,delay_outlier,1,2
metlink,Breaker Bay Road at Eve Bay (near 108),-41.33270588,174.8260247,2026-04-01,7,false,delay_outlier,1,2
metlink,Paraparaumu Station Stop A,-40.91649713950052,175.00676858440193,2026-04-01,7,false,delay_outlier,2,2
metlink,Bedford Street at Leicester Street,-41.14549418,174.8678872,2026-04-01,7,false,dwell_outlier,1,2
metlink,Brooklyn Road opposite Nairn Street,-41.30107522,174.7693627,2026-04-01,7,false,dwell_outlier,1,2
metlink,Nevay Road at Glenville Road,-41.30180193999999,174.8292892,2026-04-01,7,false,dwell_outlier,1,3
metlink,Centennial Highway at Glover Street,-41.24256196999999,174.8134883,2026-04-01,7,false,delay_outlier,1,2
metlink,Duthie Street at Hurman Street,-41.2891624,174.7473063,2026-04-01,7,false,delay_outlier,1,2
metlink,Ottawa Road at Ngaio Town Hall,-41.24999869,174.77357852,2026-04-01,7,false,delay_outlier,1,2
metlink,Lambton Central - Stop B,-41.28296301740423,174.77570891360472,2026-04-01,7,false,bunching,2,3
metlink,Onepu Road at Endeavour Street (near 96),-41.32311679,174.79538094,2026-04-01,7,false,delay_outlier,1,3
metlink,Manor Drive (near 18),-41.15844079,174.9844892,2026-04-01,7,false,dwell_outlier,1,2
metlink,Tireti Road (near 42),-41.10883293,174.8343355,2026-04-01,7,false,delay_outlier,1,2
metlink,Lennel Road at Moorhouse Street,-41.26258433999999,174.7771565,2026-04-01,7,false,delay_outlier,2,3
metlink,Raumati Beach Shops - Raumati Road (near 26),-40.91928,174.9827,2026-04-01,7,false,delay_outlier,1,2
metlink,Ghuznee Street at Cuba Street (opposite),-41.293456,174.776428,2026-04-01,7,false,delay_outlier,1,2
metlink,Oriental Parade at Carlton Gore Road,-41.28854238,174.7992369,2026-04-01,7,false,dwell_outlier,1,3
metlink,Darlington Road opposite Puriri Street,-41.31184317999999,174.8238893,2026-04-01,7,false,delay_outlier,3,2
metlink,George Street at Stokes Valley Road (near 410),-41.18267865,174.9819687,2026-04-01,7,false,dwell_outlier,1,2
metlink,Park Road at Natusch Road (near 12),-41.19308772,174.9205147,2026-04-01,7,false,dwell_outlier,2,2
metlink,Wadestown Road opposite Lytton Street,-41.26152969999999,174.7696077,2026-04-01,7,false,delay_outlier,1,2
metlink,Martin Road at Michael Road (near 46),-40.88694142,174.9937674,2026-04-01,7,false,delay_outlier,1,2
metlink,Wainuiomata Road at Gracefield Road,-41.23233602,174.9217171,2026-04-01,7,false,bunching,1,2
metlink,Wainui Road at Our Lady Of The Rosary (near 10),-41.22488898,174.9147643,2026-04-01,7,false,bunching,1,2
metlink,Zealandia - Chaytor Street (at Tunnel),-41.28710344,174.75478538,2026-04-01,7,false,dwell_outlier,2,3
metlink,Waddington Drive opposite Burke Grove (near 64),-41.20581952,174.9454559,2026-04-01,7,false,dwell_outlier,1,2
metlink,Naenae Road at Kowhai Street (near 294),-41.195075,174.956393,2026-04-01,7,false,dwell_outlier,1,2
metlink,Timberlea - Norana Road (near 126),-41.10262304451182,175.10667167257688,2026-04-01,7,false,delay_outlier,1,2
