SiteRef,site_name,site_description,state_highway,sitetype,lat,lon,no_location,count_date,day_name,is_weekend,total_count,heavy_count,light_count,lanes_reporting,baseline_median,baseline_mad,baseline_n,ratio,robust_z,severity,direction
00210974,Nth of Petone Interchange - SB,Nth of Petone Interchange - SB,2,Regional Continuous,-41.22438570098754,174.85771903332994,false,2026-04-21,Tuesday,false,12989.0,,12989.0,2,23734.5,846.0,22,0.547,-8.567,HIGH,DROP
00200890,South of Waingawa Bridge,South of Waingawa Bridge,2,Regional Continuous,-40.965596684725504,175.60779193023703,false,2026-04-02,Thursday,false,20996.0,1548.5,19447.5,2,18408.0,206.0,14,1.141,8.474,HIGH,SURGE
00210974,Nth of Petone Interchange - SB,Nth of Petone Interchange - SB,2,Regional Continuous,-41.22438570098754,174.85771903332994,false,2026-04-03,Friday,false,13284.0,,13284.0,2,23734.5,846.0,22,0.56,-8.332,HIGH,DROP
00240972,Dowse Interchange - NB OFF Ramp,Dowse Interchange - NB OFF Ramp,2,Regional Continuous,-41.21681441865065,174.88037203040545,false,2026-04-03,Friday,false,3029.0,,3029.0,1,6243.0,262.0,22,0.485,-8.274,HIGH,DROP
00210972,Dowse Interchange - SB Through Traffic,Dowse Interchange - SB Through Traffic,2,Regional Continuous,-41.21697201319148,174.88065086215036,false,2026-04-06,Monday,false,10995.0,,10995.0,2,15829.0,396.5,22,0.695,-8.223,HIGH,DROP
00210972,Dowse Interchange - SB Through Traffic,Dowse Interchange - SB Through Traffic,2,Regional Continuous,-41.21697201319148,174.88065086215036,false,2026-04-27,Monday,false,11012.0,,11012.0,2,15829.0,396.5,22,0.696,-8.194,HIGH,DROP
01N31066,Newlands Interchange - SB On Ramp,Newlands Interchange - SB On Ramp,1N,Regional Continuous,-41.233099481748596,174.80854653223355,false,2026-04-03,Friday,false,5264.0,,5264.0,1,10148.5,408.5,22,0.519,-8.065,HIGH,DROP
00220961,Haywards Interchange Decreasing,Haywards Interchange Decreasing,2,Regional Continuous,-41.1592460994802,174.9721219661422,false,2026-04-03,Friday,false,8939.0,102.0,8837.0,2,15191.5,525.0,22,0.588,-8.033,HIGH,DROP
05900011,Nth of Wairaka Rd (Pukerua Bay),Nth of Wairaka Rd (Pukerua Bay),59,Regional Continuous,-41.03354485210579,174.88881507103167,false,2026-04-21,Tuesday,false,5576.0,,5576.0,2,8170.0,220.0,11,0.682,-7.953,HIGH,DROP
01N61073,Terrace - SB Off Ramp,Terrace - SB Off Ramp,1N,Regional Continuous,-41.282663652522814,174.77418182137015,false,2026-04-06,Monday,false,4062.0,,4062.0,1,10109.0,513.5,22,0.402,-7.943,HIGH,DROP
01N21080,,NGAURANGA SH1 - WTOC - NB,,,,,true,2026-04-21,Tuesday,false,15158.0,1569.0,13589.0,2,25736.5,898.5,14,0.589,-7.941,HIGH,DROP
00210961,Haywards Interchange Increasing,Haywards Interchange Increasing,2,Regional Continuous,-41.15727510019238,174.9767825027756,false,2026-04-21,Tuesday,false,8095.0,195.5,7899.5,2,14899.0,584.0,19,0.543,-7.858,HIGH,DROP
00240974,Petone - NB OFF Ramp,Petone - NB OFF Ramp,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-03,Friday,false,8009.0,,8009.0,1,15645.5,663.5,22,0.512,-7.763,HIGH,DROP
01N11080,,NGAURANGA SH1 - WTOC - SB,,,,,true,2026-04-30,Thursday,false,25286.0,803.5,24482.5,2,12021.5,1162.5,14,2.103,7.696,HIGH,SURGE
01N61073,Terrace - SB Off Ramp,Terrace - SB Off Ramp,1N,Regional Continuous,-41.282663652522814,174.77418182137015,false,2026-04-27,Monday,false,4269.0,,4269.0,1,10109.0,513.5,22,0.422,-7.671,HIGH,DROP
00210979,NGAURANGA SH2 - Telemetry Site 3 - SB,NGAURANGA SH2 - Telemetry Site 3 - SB,2,Telemetry,-41.24907256298991,174.81174090920283,false,2026-04-21,Tuesday,false,12179.0,435.5,11743.5,2,23092.5,981.0,22,0.527,-7.504,HIGH,DROP
00200890,South of Waingawa Bridge,South of Waingawa Bridge,2,Regional Continuous,-40.965596684725504,175.60779193023703,false,2026-04-13,Monday,false,16124.0,1116.5,15007.5,2,18408.0,206.0,14,0.876,-7.478,HIGH,DROP
00200908,Nth of Wood St (Greytown),Nth of Wood St (Greytown),2,Regional Continuous,-41.08155016730462,175.45915476880586,false,2026-04-21,Tuesday,false,4385.0,219.0,4166.0,2,8964.0,414.5,22,0.489,-7.451,HIGH,DROP
00220974,Nth of Petone Interchange - NB,Nth of Petone Interchange - NB,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-21,Tuesday,false,12115.0,,12115.0,2,22146.0,913.5,22,0.547,-7.406,HIGH,DROP
00200906,Sth of Waiohine River Bridge,Sth of Waiohine River Bridge,2,Regional Continuous,-41.06628242215614,175.48108371639492,false,2026-04-21,Tuesday,false,5820.0,245.0,5575.0,2,11121.0,484.0,22,0.523,-7.387,HIGH,DROP
00200957,Sth of Craigs Flat,Sth of Craigs Flat,2,Regional Continuous,-41.132689571832096,175.01881579929966,false,2026-04-21,Tuesday,false,14895.0,,14895.0,2,27761.5,1177.0,22,0.537,-7.373,HIGH,DROP
01N11080,,NGAURANGA SH1 - WTOC - SB,,,,,true,2026-04-29,Wednesday,false,24661.0,793.0,23868.0,2,12021.5,1162.5,14,2.051,7.334,HIGH,SURGE
00220978,Nth of Ngauranga Interchange - NB,Nth of Ngauranga Interchange - NB,2,Regional Continuous,-41.241094949782465,174.8242059695312,false,2026-04-21,Tuesday,false,21762.0,948.0,20814.0,2,37182.0,1419.0,19,0.585,-7.33,HIGH,DROP
01N61073,Terrace - SB Off Ramp,Terrace - SB Off Ramp,1N,Regional Continuous,-41.282663652522814,174.77418182137015,false,2026-04-21,Tuesday,false,4531.0,,4531.0,1,10109.0,513.5,22,0.448,-7.327,HIGH,DROP
00210965,KELSON - Telemetry Site 99 - SB Lanes,KELSON - Telemetry Site 99 - SB Lanes,2,Telemetry,-41.18295836375429,174.94195132186667,false,2026-04-27,Monday,false,15526.0,363.5,15162.5,2,20685.0,480.0,22,0.751,-7.249,HIGH,DROP
00220980,,NGAURANGA SH2 - WTOC - NB,,,,,true,2026-04-27,Monday,false,14605.0,571.0,14034.0,2,22914.0,776.0,14,0.637,-7.222,HIGH,DROP
01K31023,Kapiti Rd Int Southbound On Ramp,Kapiti Rd Int Southbound On Ramp,1K,Regional Continuous,-40.91015329952142,174.9978907808589,false,2026-04-21,Tuesday,false,2590.0,84.5,2505.5,1,3823.0,116.0,22,0.677,-7.169,HIGH,DROP
00200969,Nth of Block Rd,Nth of Block Rd,2,Regional Continuous,-41.20174215589833,174.90920778908145,false,2026-04-21,Tuesday,false,23422.0,,23422.0,4,40264.0,1600.0,22,0.582,-7.1,HIGH,DROP
00210979,NGAURANGA SH2 - Telemetry Site 3 - SB,NGAURANGA SH2 - Telemetry Site 3 - SB,2,Telemetry,-41.24907256298991,174.81174090920283,false,2026-04-03,Friday,false,12858.0,180.5,12677.5,2,23092.5,981.0,22,0.557,-7.037,HIGH,DROP
01K31023,Kapiti Rd Int Southbound On Ramp,Kapiti Rd Int Southbound On Ramp,1K,Regional Continuous,-40.91015329952142,174.9978907808589,false,2026-04-03,Friday,false,2625.0,53.5,2571.5,1,3823.0,116.0,22,0.687,-6.966,HIGH,DROP
01N41060,Tawa Interchange - NB Off Ramp,Tawa Interchange - NB Off Ramp,1N,Regional Continuous,-41.18778346721265,174.8321888093175,false,2026-04-03,Friday,false,4248.0,,4248.0,1,8377.0,402.5,22,0.507,-6.919,HIGH,DROP
00210974,Nth of Petone Interchange - SB,Nth of Petone Interchange - SB,2,Regional Continuous,-41.22438570098754,174.85771903332994,false,2026-04-06,Monday,false,15064.0,,15064.0,2,23734.5,846.0,22,0.635,-6.913,HIGH,DROP
00200954,Sth of Whakatiki St,Sth of Whakatiki St,2,Regional Continuous,-41.1212893293081,175.04175410843996,false,2026-04-21,Tuesday,false,15328.0,421.0,14907.0,2,27840.5,1231.5,22,0.551,-6.853,HIGH,DROP
00210965,KELSON - Telemetry Site 99 - SB Lanes,KELSON - Telemetry Site 99 - SB Lanes,2,Telemetry,-41.18295836375429,174.94195132186667,false,2026-04-20,Monday,false,15840.0,784.5,15055.5,2,20685.0,480.0,22,0.766,-6.808,HIGH,DROP
00260972,Dowse Interchange - SB OFF Ramp,Dowse Interchange - SB OFF Ramp,2,Regional Continuous,-41.215036112746276,174.88504477188002,false,2026-04-03,Friday,false,3458.0,,3458.0,1,6741.5,326.5,22,0.513,-6.783,HIGH,DROP
00210974,Nth of Petone Interchange - SB,Nth of Petone Interchange - SB,2,Regional Continuous,-41.22438570098754,174.85771903332994,false,2026-04-27,Monday,false,15289.0,,15289.0,2,23734.5,846.0,22,0.644,-6.733,HIGH,DROP
01N11066,Newlands Interchange - SB Through Traffic,Newlands Interchange - SB Through Traffic,1N,Regional Continuous,-41.233099481748596,174.80854653223355,false,2026-04-21,Tuesday,false,18618.0,,18618.0,3,30647.5,1210.5,22,0.607,-6.703,HIGH,DROP
01N21080,,NGAURANGA SH1 - WTOC - NB,,,,,true,2026-04-27,Monday,false,16810.0,1042.0,15768.0,2,25736.5,898.5,14,0.653,-6.701,HIGH,DROP
00240972,Dowse Interchange - NB OFF Ramp,Dowse Interchange - NB OFF Ramp,2,Regional Continuous,-41.21681441865065,174.88037203040545,false,2026-04-06,Monday,false,3644.0,,3644.0,1,6243.0,262.0,22,0.584,-6.691,HIGH,DROP
05900005,PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),59,Telemetry,-40.999717137754324,174.93968885757397,false,2026-04-21,Tuesday,false,5039.0,433.0,4606.0,2,7572.5,255.5,22,0.665,-6.688,HIGH,DROP
00210965,KELSON - Telemetry Site 99 - SB Lanes,KELSON - Telemetry Site 99 - SB Lanes,2,Telemetry,-41.18295836375429,174.94195132186667,false,2026-04-06,Monday,false,15944.0,338.5,15605.5,2,20685.0,480.0,22,0.771,-6.662,HIGH,DROP
01N11066,Newlands Interchange - SB Through Traffic,Newlands Interchange - SB Through Traffic,1N,Regional Continuous,-41.233099481748596,174.80854653223355,false,2026-04-03,Friday,false,18730.0,,18730.0,3,30647.5,1210.5,22,0.611,-6.64,HIGH,DROP
01N31060,Tawa Interchange - SB On Ramp,Tawa Interchange - SB On Ramp,1N,Regional Continuous,-41.18719620369047,174.8323036727549,false,2026-04-03,Friday,false,3933.0,,3933.0,1,7214.0,334.0,22,0.545,-6.626,HIGH,DROP
01K31027,Poplar Ave Int Southbound On Ramp,Poplar Ave Int Southbound On Ramp,1K,Regional Continuous,-40.94131359918373,174.99253154852656,false,2026-04-03,Friday,false,3099.0,128.0,2971.0,1,4894.5,183.0,22,0.633,-6.618,HIGH,DROP
01N61071,Murphy St - SB Off Ramp,Murphy St - SB Off Ramp,1N,Regional Continuous,-41.2713682252429,174.77895149097245,false,2026-04-03,Friday,false,1659.0,,1659.0,1,5013.5,343.0,22,0.331,-6.596,HIGH,DROP
00220972,Dowse Interchange - NB Through Traffic,Dowse Interchange - NB Through Traffic,2,Regional Continuous,-41.21693852030788,174.8804948444656,false,2026-04-06,Monday,false,10402.0,,10402.0,2,16077.5,582.0,22,0.647,-6.577,HIGH,DROP
05900011,Nth of Wairaka Rd (Pukerua Bay),Nth of Wairaka Rd (Pukerua Bay),59,Regional Continuous,-41.03354485210579,174.88881507103167,false,2026-04-20,Monday,false,6029.0,,6029.0,2,8170.0,220.0,11,0.738,-6.564,HIGH,DROP
05930025,Mungavin Interchange - SB ON Ramp,Mungavin Interchange - SB ON Ramp,59,Regional Continuous,-41.14067619019408,174.84472805131063,false,2026-04-03,Friday,false,4760.0,78.5,4681.5,1,9069.5,448.0,22,0.525,-6.488,HIGH,DROP
00230974,Petone - SB ON Ramp,Petone - SB ON Ramp,2,Regional Continuous,-41.22436769554513,174.85771852715826,false,2026-04-03,Friday,false,7930.0,,7930.0,1,14240.5,657.0,22,0.557,-6.478,HIGH,DROP
05800009,PAUATAHANUI EAST - Telemetry Site 73,PAUATAHANUI EAST - Telemetry Site 73,58,Telemetry,-41.12912548543536,174.97322556096162,false,2026-04-21,Tuesday,false,10130.0,461.5,9668.5,2,19571.5,984.5,22,0.518,-6.468,HIGH,DROP
00250972,Dowse Interchange - NB ON Ramp,Dowse Interchange - NB ON Ramp,2,Regional Continuous,-41.21515183550086,174.88402229071446,false,2026-04-03,Friday,false,3110.0,,3110.0,1,5889.0,291.0,22,0.528,-6.441,HIGH,DROP
01N11072,Hawkestone Interchange - SB Through Traffic,Hawkestone Interchange - SB Through Traffic,1N,Regional Continuous,-41.27570477419336,174.7739707358753,false,2026-04-21,Tuesday,false,16162.0,,16162.0,4,26099.0,1048.0,22,0.619,-6.395,HIGH,DROP
01N41003,PP2O â€“ OGR NB Offramp,PP2O – OGR NB Offramp,1N,Regional Continuous,-40.77657484683837,175.14244933973023,false,2026-04-06,Monday,false,2606.0,92.5,2513.5,1,4248.5,173.5,22,0.613,-6.385,HIGH,DROP
00200917,Sth of Tauherenikau River Bridge,Sth of Tauherenikau River Bridge,2,Regional Continuous,-41.11801372768768,175.37014985461875,false,2026-04-21,Tuesday,false,2721.0,130.5,2590.5,2,6965.0,450.0,18,0.391,-6.361,HIGH,DROP
01N31065,Johnsonville - SB On Ramp,Johnsonville - SB On Ramp,1N,Regional Continuous,-41.23101115029241,174.81019538468675,false,2026-04-03,Friday,false,5570.0,,5570.0,1,10155.0,487.0,12,0.548,-6.35,HIGH,DROP
00240972,Dowse Interchange - NB OFF Ramp,Dowse Interchange - NB OFF Ramp,2,Regional Continuous,-41.21681441865065,174.88037203040545,false,2026-04-21,Tuesday,false,3782.0,,3782.0,1,6243.0,262.0,22,0.606,-6.336,HIGH,DROP
01K31023,Kapiti Rd Int Southbound On Ramp,Kapiti Rd Int Southbound On Ramp,1K,Regional Continuous,-40.91015329952142,174.9978907808589,false,2026-04-27,Monday,false,2743.0,58.5,2684.5,1,3823.0,116.0,22,0.717,-6.28,HIGH,DROP
01N31066,Newlands Interchange - SB On Ramp,Newlands Interchange - SB On Ramp,1N,Regional Continuous,-41.233099481748596,174.80854653223355,false,2026-04-06,Monday,false,6380.0,,6380.0,1,10148.5,408.5,22,0.629,-6.222,HIGH,DROP
00210972,Dowse Interchange - SB Through Traffic,Dowse Interchange - SB Through Traffic,2,Regional Continuous,-41.21697201319148,174.88065086215036,false,2026-04-20,Monday,false,12173.0,,12173.0,2,15829.0,396.5,22,0.769,-6.219,HIGH,DROP
01K31023,Kapiti Rd Int Southbound On Ramp,Kapiti Rd Int Southbound On Ramp,1K,Regional Continuous,-40.91015329952142,174.9978907808589,false,2026-04-06,Monday,false,2755.0,55.0,2700.0,1,3823.0,116.0,22,0.721,-6.21,HIGH,DROP
01K61011,Peka Peka Int Southbound Off Ramp,Peka Peka Int Southbound Off Ramp,1K,Regional Continuous,-40.8387974809201,175.08773044117217,false,2026-04-02,Thursday,false,2279.0,154.5,2124.5,1,1659.0,67.5,22,1.374,6.195,HIGH,SURGE
00220974,Nth of Petone Interchange - NB,Nth of Petone Interchange - NB,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-06,Monday,false,13763.0,,13763.0,2,22146.0,913.5,22,0.621,-6.19,HIGH,DROP
05940025,Mungavin Interchange - NB OFF Ramp,Mungavin Interchange - NB OFF Ramp,59,Regional Continuous,-41.14091596410872,174.84437730897292,false,2026-04-03,Friday,false,5820.0,93.5,5726.5,1,12053.0,684.0,22,0.483,-6.146,HIGH,DROP
00220972,Dowse Interchange - NB Through Traffic,Dowse Interchange - NB Through Traffic,2,Regional Continuous,-41.21693852030788,174.8804948444656,false,2026-04-27,Monday,false,10809.0,,10809.0,2,16077.5,582.0,22,0.672,-6.106,HIGH,DROP
01N60999,PP2O â€“ Waitohu Stream SB Offramp,PP2O – Waitohu Stream SB Offramp,1N,Regional Continuous,-40.75537295347653,175.161564026844,false,2026-04-03,Friday,false,1597.0,71.5,1525.5,1,2751.5,128.5,22,0.58,-6.06,HIGH,DROP
00240974,Petone - NB OFF Ramp,Petone - NB OFF Ramp,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-21,Tuesday,false,9769.0,,9769.0,1,15645.5,663.5,22,0.624,-5.974,HIGH,DROP
00220974,Nth of Petone Interchange - NB,Nth of Petone Interchange - NB,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-03,Friday,false,14131.0,,14131.0,2,22146.0,913.5,22,0.638,-5.918,HIGH,DROP
00220978,Nth of Ngauranga Interchange - NB,Nth of Ngauranga Interchange - NB,2,Regional Continuous,-41.241094949782465,174.8242059695312,false,2026-04-27,Monday,false,24826.0,563.5,24262.5,2,37182.0,1419.0,19,0.668,-5.873,HIGH,DROP
05900005,PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),59,Telemetry,-40.999717137754324,174.93968885757397,false,2026-04-18,Saturday,true,3548.0,204.0,3344.0,2,7541.0,459.5,8,0.47,-5.861,HIGH,DROP
01N31003,PP2O â€“ OGR SB Onramp,PP2O – OGR SB Onramp,1N,Regional Continuous,-40.77657484683837,175.14244933973023,false,2026-04-06,Monday,false,3035.0,86.5,2948.5,1,4261.0,141.5,22,0.712,-5.844,HIGH,DROP
00220972,Dowse Interchange - NB Through Traffic,Dowse Interchange - NB Through Traffic,2,Regional Continuous,-41.21693852030788,174.8804948444656,false,2026-04-20,Monday,false,11039.0,,11039.0,2,16077.5,582.0,22,0.687,-5.839,HIGH,DROP
00200969,Nth of Block Rd,Nth of Block Rd,2,Regional Continuous,-41.20174215589833,174.90920778908145,false,2026-04-03,Friday,false,26468.0,,26468.0,4,40264.0,1600.0,22,0.657,-5.816,HIGH,DROP
01K31027,Poplar Ave Int Southbound On Ramp,Poplar Ave Int Southbound On Ramp,1K,Regional Continuous,-40.94131359918373,174.99253154852656,false,2026-04-21,Tuesday,false,3331.0,104.5,3226.5,1,4894.5,183.0,22,0.681,-5.763,HIGH,DROP
01N11072,Hawkestone Interchange - SB Through Traffic,Hawkestone Interchange - SB Through Traffic,1N,Regional Continuous,-41.27570477419336,174.7739707358753,false,2026-04-03,Friday,false,17155.0,,17155.0,4,26099.0,1048.0,22,0.657,-5.756,HIGH,DROP
01N41003,PP2O â€“ OGR NB Offramp,PP2O – OGR NB Offramp,1N,Regional Continuous,-40.77657484683837,175.14244933973023,false,2026-04-27,Monday,false,2775.0,100.0,2675.0,1,4248.5,173.5,22,0.653,-5.728,HIGH,DROP
00210979,NGAURANGA SH2 - Telemetry Site 3 - SB,NGAURANGA SH2 - Telemetry Site 3 - SB,2,Telemetry,-41.24907256298991,174.81174090920283,false,2026-04-06,Monday,false,14785.0,220.5,14564.5,2,23092.5,981.0,22,0.64,-5.712,HIGH,DROP
00220974,Nth of Petone Interchange - NB,Nth of Petone Interchange - NB,2,Regional Continuous,-41.22399992836928,174.8581853527085,false,2026-04-27,Monday,false,14430.0,,14430.0,2,22146.0,913.5,22,0.652,-5.697,HIGH,DROP
00210961,Haywards Interchange Increasing,Haywards Interchange Increasing,2,Regional Continuous,-41.15727510019238,174.9767825027756,false,2026-04-06,Monday,false,9973.0,120.0,9853.0,2,14899.0,584.0,19,0.669,-5.689,HIGH,DROP
00240972,Dowse Interchange - NB OFF Ramp,Dowse Interchange - NB OFF Ramp,2,Regional Continuous,-41.21681441865065,174.88037203040545,false,2026-04-27,Monday,false,4036.0,,4036.0,1,6243.0,262.0,22,0.646,-5.682,HIGH,DROP
00220972,Dowse Interchange - NB Through Traffic,Dowse Interchange - NB Through Traffic,2,Regional Continuous,-41.21693852030788,174.8804948444656,false,2026-04-03,Friday,false,11186.0,,11186.0,2,16077.5,582.0,22,0.696,-5.669,HIGH,DROP
01K61011,Peka Peka Int Southbound Off Ramp,Peka Peka Int Southbound Off Ramp,1K,Regional Continuous,-40.8387974809201,175.08773044117217,false,2026-04-01,Wednesday,false,2225.0,124.0,2101.0,1,1659.0,67.5,22,1.341,5.656,HIGH,SURGE
01N11066,Newlands Interchange - SB Through Traffic,Newlands Interchange - SB Through Traffic,1N,Regional Continuous,-41.233099481748596,174.80854653223355,false,2026-04-27,Monday,false,20537.0,,20537.0,3,30647.5,1210.5,22,0.67,-5.634,HIGH,DROP
01N50999,PP2O â€“ Waitohu Stream NB Onramp,PP2O – Waitohu Stream NB Onramp,1N,Regional Continuous,-40.75536350669006,175.16158741397572,false,2026-04-06,Monday,false,1736.0,84.5,1651.5,1,2838.5,132.0,22,0.612,-5.634,HIGH,DROP
01N31003,PP2O â€“ OGR SB Onramp,PP2O – OGR SB Onramp,1N,Regional Continuous,-40.77657484683837,175.14244933973023,false,2026-04-27,Monday,false,3081.0,101.0,2980.0,1,4261.0,141.5,22,0.723,-5.625,HIGH,DROP
01K61023,Kapiti Rd Int Southbound Off Ramp,Kapiti Rd Int Southbound Off Ramp,1K,Regional Continuous,-40.906473709727976,175.0028261725781,false,2026-04-03,Friday,false,3657.0,59.5,3597.5,1,6146.0,299.0,22,0.595,-5.615,HIGH,DROP
01K11027,Poplar Ave Int Mainline Southbound,Poplar Ave Int Mainline Southbound,1K,Regional Continuous,-40.94130705286987,174.9923888045682,false,2026-04-21,Tuesday,false,7456.0,866.0,6590.0,2,11455.0,480.5,22,0.651,-5.614,HIGH,DROP
01N41062,Grenada Interchange - NB Off Ramp,Grenada Interchange - NB Off Ramp,1N,Regional Continuous,-41.20629231777751,174.81792582487125,false,2026-04-03,Friday,false,2258.0,,2258.0,1,3904.5,198.0,16,0.578,-5.609,HIGH,DROP
01N50999,PP2O â€“ Waitohu Stream NB Onramp,PP2O – Waitohu Stream NB Onramp,1N,Regional Continuous,-40.75536350669006,175.16158741397572,false,2026-04-27,Monday,false,1754.0,71.0,1683.0,1,2838.5,132.0,22,0.618,-5.542,HIGH,DROP
05900005,PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),PAEKAKARIKI - Telemetry Site 47 (Piezo Axle Classification),59,Telemetry,-40.999717137754324,174.93968885757397,false,2026-04-20,Monday,false,5474.0,436.0,5038.0,2,7572.5,255.5,22,0.723,-5.54,HIGH,DROP
